,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
1226,600019.SH,20160104,4.4589,4.4748,4.1483,4.1643,4.4429,-0.27859999999999996,-6.2707,447328.37,245549.76
1225,600019.SH,20160105,4.1404,4.4031,4.1006,4.3235,4.1643,0.15920000000000023,3.823,867079.09,466681.963
1224,600019.SH,20160106,4.3315,4.7535,4.2917,4.7535,4.3235,0.4299999999999997,9.9456,2919012.37,1705365.709
1223,600019.SH,20160107,4.6579,4.6659,4.2757,4.2837,4.7535,-0.4698000000000002,-9.8832,525823.0,295596.131
1222,600019.SH,20160108,4.4589,4.7137,4.3872,4.7137,4.2837,0.4300000000000006,10.0381,2243776.56,1306366.011
1221,600019.SH,20160111,4.7057,4.849,4.4509,4.5624,4.7137,-0.1513,-3.2098,1823447.22,1062165.287
1220,600019.SH,20160112,4.6022,4.6579,4.3315,4.3792,4.5624,-0.18320000000000025,-4.0154,973215.05,544761.897
1219,600019.SH,20160113,4.4111,4.8172,4.3554,4.5624,4.3792,0.18320000000000025,4.1834,1791305.12,1053892.554
1218,600019.SH,20160114,4.3474,4.8968,4.1643,4.8092,4.5624,0.24679999999999946,5.4094,2333598.04,1360076.602
1217,600019.SH,20160115,4.6818,4.7694,4.5385,4.6659,4.8092,-0.14329999999999998,-2.9797,1362963.03,797904.438
1216,600019.SH,20160118,4.5703,4.8251,4.5066,4.65,4.6659,-0.01589999999999936,-0.3408,1011962.27,591455.133
1215,600019.SH,20160119,4.6181,4.8092,4.4429,4.7933,4.65,0.14329999999999998,3.0817,1284900.75,753416.036
1214,600019.SH,20160120,4.6818,4.7137,4.419,4.5066,4.7933,-0.2867000000000006,-5.9813,1307543.47,748843.208
1213,600019.SH,20160121,4.3872,4.5385,4.2917,4.2996,4.5066,-0.20699999999999985,-4.5933,904729.8,501334.155
1212,600019.SH,20160122,4.4031,4.4748,4.2678,4.3713,4.2996,0.07169999999999987,1.6676,739221.37,406439.293
1211,600019.SH,20160125,4.427,4.6022,4.3872,4.4827,4.3713,0.11140000000000061,2.5484,832173.52,470542.905
1210,600019.SH,20160126,4.427,4.5703,4.0528,4.0846,4.4827,-0.39810000000000034,-8.8808,1126820.12,617143.396
1209,600019.SH,20160127,4.1324,4.3872,4.0846,4.3315,4.0846,0.24690000000000012,6.0447,1069094.39,566513.111
1208,600019.SH,20160128,4.2837,4.3315,4.0846,4.1244,4.3315,-0.2071000000000005,-4.7813,587658.49,310694.465
1207,600019.SH,20160129,4.1244,4.22,4.0528,4.1483,4.1244,0.023900000000000254,0.5795,791242.12,410624.294
1206,600019.SH,20160201,4.1483,4.1722,3.8298,3.9334,4.1483,-0.2149000000000001,-5.1804,796821.17,400806.138
1205,600019.SH,20160202,3.8856,4.013,3.8856,3.9413,3.9334,0.00790000000000024,0.2008,699722.72,346896.857
1204,600019.SH,20160203,3.9015,3.9095,3.79,3.8537,3.9413,-0.08760000000000012,-2.2226,496567.37,239331.951
1203,600019.SH,20160204,3.8935,3.9254,3.8537,3.9015,3.8537,0.047800000000000065,1.2404,436231.32,213212.595
1202,600019.SH,20160205,3.9334,3.997,3.9174,3.9254,3.9015,0.02389999999999981,0.6126,424321.74,211076.258
1201,600019.SH,20160215,3.8378,3.8776,3.79,3.8458,3.9254,-0.07959999999999967,-2.0278,385530.2,185883.836
1200,600019.SH,20160216,3.8617,3.9891,3.8537,3.9732,3.8458,0.12739999999999974,3.3127,550373.29,272300.552
1199,600019.SH,20160217,3.9572,4.0607,3.9334,4.0289,3.9732,0.055700000000000305,1.4019,543520.69,273781.414
1198,600019.SH,20160218,4.0369,4.2041,4.0209,4.0448,4.0289,0.015900000000000247,0.3946,632380.57,326069.702
1197,600019.SH,20160219,4.0448,4.1085,3.9891,4.013,4.0448,-0.031800000000000495,-0.7862,440900.73,223968.712
1196,600019.SH,20160222,4.0687,4.4111,4.0687,4.2757,4.013,0.2626999999999997,6.5462,1286537.89,690400.498
1195,600019.SH,20160223,4.2757,4.2917,4.1165,4.2837,4.2757,0.008000000000000007,0.1871,774115.17,408795.107
1194,600019.SH,20160224,4.2518,4.3554,4.2041,4.3155,4.2837,0.031800000000000495,0.7423,545599.44,293320.146
1193,600019.SH,20160225,4.2996,4.2996,4.005,4.0448,4.3155,-0.2706999999999997,-6.2727,625657.15,325373.364
1192,600019.SH,20160226,4.0607,4.212,4.0289,4.1643,4.0448,0.1194999999999995,2.9544,511691.75,265085.53
1191,600019.SH,20160229,4.1244,4.212,3.9095,4.0369,4.1643,-0.12739999999999974,-3.0593,664221.37,338692.329
1190,600019.SH,20160301,4.0846,4.1085,3.9811,4.0846,4.0369,0.047699999999999854,1.1816,398356.28,203741.685
1189,600019.SH,20160302,4.0846,4.419,4.0607,4.3315,4.0846,0.24690000000000012,6.0447,998910.62,537153.296
1188,600019.SH,20160303,4.2757,4.3474,4.2439,4.2757,4.3315,-0.055800000000000516,-1.2882,646454.82,348337.926
1187,600019.SH,20160304,4.2757,4.419,4.228,4.2917,4.2757,0.016000000000000014,0.3742,711209.94,385542.207
1186,600019.SH,20160307,4.5146,4.7057,4.427,4.4589,4.2917,0.16720000000000024,3.8959,900954.94,511066.056
1185,600019.SH,20160308,4.6261,4.6579,4.2757,4.4429,4.4589,-0.016000000000000014,-0.3588,1123726.71,629452.326
1184,600019.SH,20160309,4.2757,4.2917,4.1563,4.228,4.4429,-0.2149000000000001,-4.8369,814788.66,431666.458
1183,600019.SH,20160310,4.2518,4.2837,4.1085,4.1244,4.228,-0.10360000000000014,-2.4503,612210.21,321131.722
1182,600019.SH,20160311,4.1006,4.1563,4.0607,4.1244,4.1244,0.0,0.0,332131.93,170933.121
1181,600019.SH,20160314,4.1563,4.2518,4.1244,4.1881,4.1244,0.06370000000000076,1.5445,576778.47,304310.575
1180,600019.SH,20160315,4.1802,4.1802,4.1006,4.1324,4.1881,-0.05570000000000075,-1.33,473362.68,245208.096
1179,600019.SH,20160316,4.1324,4.1563,4.0926,4.1483,4.1324,0.015900000000000247,0.3848,379182.03,196722.825
1178,600019.SH,20160317,4.1404,4.212,4.1244,4.1802,4.1483,0.03190000000000026,0.769,593864.44,311189.718
1177,600019.SH,20160318,4.2041,4.2837,4.1802,4.2757,4.1802,0.09549999999999947,2.2846,697771.06,371967.453
1176,600019.SH,20160321,4.2678,4.3394,4.2598,4.3315,4.2757,0.055800000000000516,1.305,892255.38,481796.501
1175,600019.SH,20160322,4.2837,4.2917,4.212,4.2439,4.3315,-0.08760000000000012,-2.0224,698860.68,373215.001
1174,600019.SH,20160323,4.2598,4.2837,4.22,4.2598,4.2439,0.015900000000000247,0.3747,437627.52,233772.715
1173,600019.SH,20160324,4.2359,4.2359,4.1643,4.1722,4.2598,-0.08760000000000012,-2.0564,411583.92,217040.673
1172,600019.SH,20160325,4.1722,4.1881,4.1324,4.1643,4.1722,-0.00790000000000024,-0.1893,312249.32,163162.61
1171,600019.SH,20160328,4.1722,4.2041,4.1085,4.1404,4.1643,-0.023900000000000254,-0.5739,312124.79,163218.981
1170,600019.SH,20160329,4.1404,4.1483,4.0607,4.0846,4.1404,-0.05579999999999963,-1.3477,315399.42,162050.321
1169,600019.SH,20160330,4.1324,4.1961,4.1085,4.1881,4.0846,0.10350000000000037,2.5339,417212.44,218099.913
1168,600019.SH,20160331,4.1881,4.2041,4.1563,4.1802,4.1881,-0.00790000000000024,-0.1886,407353.92,214035.528
1167,600019.SH,20160401,4.1722,4.2837,4.1643,4.2359,4.1802,0.05569999999999986,1.3325,541091.81,286812.658
1166,600019.SH,20160405,4.22,4.2837,4.2041,4.2837,4.2359,0.04779999999999962,1.1284,558786.81,298529.454
1165,600019.SH,20160406,4.2757,4.3155,4.228,4.2439,4.2837,-0.03979999999999961,-0.9291,379502.3,203439.746
1164,600019.SH,20160407,4.2598,4.3394,4.1961,4.2678,4.2439,0.023900000000000254,0.5632,654678.34,352295.377
1163,600019.SH,20160408,4.2439,4.4827,4.228,4.3872,4.2678,0.11939999999999973,2.7977,1532311.77,845046.45
1162,600019.SH,20160411,4.5146,4.7933,4.5146,4.6659,4.3872,0.2786999999999997,6.3526,1785453.59,1048287.056
1161,600019.SH,20160412,4.6261,4.8729,4.5783,4.7057,4.6659,0.0398000000000005,0.853,1297657.89,772930.507
1160,600019.SH,20160413,4.7933,4.8968,4.6977,4.7057,4.7057,0.0,0.0,1397983.55,847632.735
1159,600019.SH,20160414,4.7773,4.8092,4.634,4.7375,4.7057,0.031799999999999606,0.6758,517533.81,306664.588
1158,600019.SH,20160415,4.7455,4.7535,4.5783,4.634,4.7375,-0.10349999999999948,-2.1847,629454.99,365351.467
1157,600019.SH,20160418,4.65,4.6579,4.5226,4.6101,4.634,-0.023900000000000254,-0.5158,588346.17,338256.514
1156,600019.SH,20160419,4.6181,4.6818,4.5544,4.6579,4.6101,0.04779999999999962,1.0369,514466.98,298323.626
1155,600019.SH,20160420,4.7535,4.7933,4.4907,4.6181,4.6579,-0.03979999999999961,-0.8545,705085.48,410906.556
1154,600019.SH,20160421,4.634,4.7614,4.5624,4.6659,4.6181,0.04779999999999962,1.0351,762061.09,447788.743
1153,600019.SH,20160422,4.5464,4.6181,4.4589,4.5385,4.6659,-0.12739999999999974,-2.7304,581463.54,329751.937
1152,600019.SH,20160425,4.5146,4.65,4.4907,4.6022,4.5385,0.06369999999999987,1.4035,517226.55,297063.96
1151,600019.SH,20160426,4.5783,4.65,4.5385,4.5942,4.6022,-0.008000000000000007,-0.1738,269118.73,154690.476
1150,600019.SH,20160427,4.5863,4.5942,4.5066,4.5305,4.5942,-0.06369999999999987,-1.3865,297055.0,169028.998
1149,600019.SH,20160428,4.5146,4.5385,4.4031,4.427,4.5305,-0.10350000000000037,-2.2845,425323.84,237666.96
1148,600019.SH,20160429,4.427,4.4907,4.3952,4.435,4.427,0.008000000000000007,0.1807,243858.89,136410.381
1147,600019.SH,20160503,4.4429,4.4987,4.427,4.4907,4.435,0.05570000000000075,1.2559,317171.48,178136.63
1146,600019.SH,20160504,4.4748,4.4987,4.4031,4.4589,4.4907,-0.031800000000000495,-0.7081,473378.21,264377.93
1145,600019.SH,20160505,4.4589,4.4589,4.4111,4.427,4.4589,-0.03190000000000026,-0.7154,247974.17,137989.456
1144,600019.SH,20160506,4.419,4.435,4.2917,4.3076,4.427,-0.11939999999999973,-2.6971,488361.31,267153.333
1143,600019.SH,20160509,4.2678,4.2837,4.0767,4.1165,4.3076,-0.1910999999999996,-4.4363,610263.0,318353.203
1142,600019.SH,20160510,4.1165,4.1722,4.1006,4.1483,4.1165,0.031799999999999606,0.7725,259060.16,134747.582
1141,600019.SH,20160511,4.1563,4.1802,4.1006,4.1563,4.1483,0.008000000000000007,0.1929,212996.7,110828.774
1140,600019.SH,20160512,4.1244,4.228,4.0767,4.1802,4.1563,0.023900000000000254,0.575,264923.04,138296.951
1139,600019.SH,20160513,4.1563,4.2041,4.1404,4.1643,4.1802,-0.015900000000000247,-0.3804,169534.58,88810.281
1138,600019.SH,20160516,4.1244,4.1563,4.1006,4.1404,4.1643,-0.023900000000000254,-0.5739,294723.9,152423.654
1137,600019.SH,20160517,4.1404,4.228,4.1244,4.1802,4.1404,0.0398000000000005,0.9613,351316.44,184661.867
1136,600019.SH,20160518,4.1404,4.1483,4.0687,4.1006,4.1802,-0.07960000000000012,-1.9042,340980.01,175556.816
1135,600019.SH,20160519,4.1165,4.1802,4.1085,4.1324,4.1006,0.031799999999999606,0.7755,215105.96,112024.496
1134,600019.SH,20160520,4.1006,4.1563,4.0846,4.1483,4.1324,0.015900000000000247,0.3848,159977.77,82936.265
1133,600019.SH,20160523,4.1483,4.1722,4.1165,4.1563,4.1483,0.008000000000000007,0.1929,175426.31,91361.768
1132,600019.SH,20160524,4.1404,4.1404,4.0926,4.1085,4.1563,-0.04779999999999962,-1.1501,155888.36,80405.694
1131,600019.SH,20160525,4.1324,4.1483,4.1006,4.1165,4.1085,0.008000000000000007,0.1947,115854.39,59963.988
1130,600019.SH,20160526,4.1006,4.1324,4.0687,4.1165,4.1165,0.0,0.0,121839.39,62661.821
1129,600019.SH,20160527,4.1006,4.212,4.0926,4.1483,4.1165,0.031799999999999606,0.7725,191929.07,99790.329
1128,600019.SH,20160530,4.1244,4.1483,4.0926,4.1244,4.1483,-0.023900000000000254,-0.5761,158608.31,81980.134
1127,600019.SH,20160531,4.1244,4.22,4.1165,4.212,4.1244,0.08760000000000012,2.1239,478013.34,251220.037
1126,600019.SH,20160601,4.1961,4.22,4.1722,4.1881,4.212,-0.023899999999999366,-0.5674,376346.37,198084.826
1125,600019.SH,20160602,4.1881,4.1881,4.1563,4.1802,4.1881,-0.00790000000000024,-0.1886,219124.89,114830.155
1124,600019.SH,20160603,4.1802,4.1881,4.1483,4.1802,4.1802,0.0,0.0,232849.12,121947.385
1123,600019.SH,20160606,4.1802,4.1961,4.1483,4.1881,4.1802,0.00790000000000024,0.189,264029.35,138375.95
1122,600019.SH,20160607,4.1802,4.1881,4.1483,4.1643,4.1881,-0.023800000000000487,-0.5683,182197.59,95316.521
1121,600019.SH,20160608,4.1804,4.1804,4.1321,4.1482,4.1643,-0.01609999999999978,-0.3866,209872.07,108095.874
1120,600019.SH,20160613,4.116,4.116,4.0435,4.0515,4.1482,-0.09670000000000023,-2.3311,295768.37,150121.797
1119,600019.SH,20160614,4.0515,4.0757,4.0273,4.0596,4.0515,0.008099999999999774,0.1999,196034.91,98579.393
1118,600019.SH,20160615,4.0354,4.0998,4.0193,4.0837,4.0596,0.024100000000000676,0.5937,336308.14,169983.507
1117,600019.SH,20160616,4.0757,4.0837,3.9951,4.0193,4.0837,-0.06440000000000001,-1.577,453579.98,227334.585
1116,600019.SH,20160617,4.0273,4.0918,4.0193,4.0354,4.0193,0.01609999999999978,0.4006,437615.62,219903.799
1115,600019.SH,20160620,4.0515,4.0515,4.0112,4.0354,4.0354,0.0,0.0,221028.94,110490.19
1114,600019.SH,20160621,4.0435,4.0515,3.9871,4.0112,4.0354,-0.024200000000000443,-0.5997,278190.14,139130.23
