,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
1318,601988.SH,20160104,2.9437,2.9437,2.8409,2.8409,2.9437,-0.10280000000000022,-3.4922,2313624.56,912024.607
1317,601988.SH,20160105,2.7895,2.8776,2.7749,2.8336,2.8409,-0.007299999999999862,-0.257,2766637.96,1065201.019
1316,601988.SH,20160106,2.8262,2.863,2.8116,2.8556,2.8336,0.021999999999999797,0.7764,1714399.41,663277.928
1315,601988.SH,20160107,2.8409,2.8409,2.7455,2.7822,2.8556,-0.07339999999999991,-2.5704,621716.74,237065.916
1314,601988.SH,20160108,2.8042,2.8336,2.7382,2.7895,2.7822,0.007299999999999862,0.2624,3129330.94,1188550.693
1313,601988.SH,20160111,2.7602,2.7749,2.6647,2.6794,2.7895,-0.11010000000000009,-3.9469,2479337.44,920663.513
1312,601988.SH,20160112,2.6941,2.7088,2.6427,2.6647,2.6794,-0.014699999999999935,-0.5486,1815744.92,660747.227
1311,601988.SH,20160113,2.6794,2.6868,2.628,2.628,2.6647,-0.03669999999999973,-1.3773,1483164.23,537743.572
1310,601988.SH,20160114,2.606,2.6574,2.5693,2.6354,2.628,0.007400000000000073,0.2816,2215043.39,784245.008
1309,601988.SH,20160115,2.6207,2.6207,2.54,2.5546,2.6354,-0.08079999999999998,-3.0659,1966538.2,689976.187
1308,601988.SH,20160118,2.5253,2.562,2.5032,2.54,2.5546,-0.014600000000000168,-0.5715,1629477.33,563486.582
1307,601988.SH,20160119,2.54,2.6207,2.5253,2.5913,2.54,0.0512999999999999,2.0197,1914460.95,671779.933
1306,601988.SH,20160120,2.584,2.5913,2.5253,2.5473,2.5913,-0.04400000000000004,-1.698,1938143.19,673983.195
1305,601988.SH,20160121,2.5253,2.5913,2.5106,2.5179,2.5473,-0.02939999999999987,-1.1542,2350262.77,813762.031
1304,601988.SH,20160122,2.5326,2.54,2.5032,2.5326,2.5179,0.014699999999999935,0.5838,1497956.34,514499.411
1303,601988.SH,20160125,2.5326,2.54,2.5106,2.5253,2.5326,-0.007299999999999862,-0.2882,1284820.04,442482.924
1302,601988.SH,20160126,2.5179,2.5179,2.3711,2.3785,2.5253,-0.14680000000000026,-5.8132,2347334.23,785908.919
1301,601988.SH,20160127,2.3785,2.4078,2.305,2.3638,2.3785,-0.014699999999999935,-0.618,2277247.96,732678.882
1300,601988.SH,20160128,2.3491,2.3638,2.3124,2.3197,2.3638,-0.044099999999999806,-1.8656,1473954.95,469141.268
1299,601988.SH,20160129,2.3197,2.3785,2.3197,2.3638,2.3197,0.044099999999999806,1.9011,1894631.24,606546.143
1298,601988.SH,20160201,2.3638,2.3638,2.305,2.3271,2.3638,-0.03669999999999973,-1.5526,1524861.91,484453.335
1297,601988.SH,20160202,2.3197,2.3638,2.3124,2.3491,2.3271,0.021999999999999797,0.9454,1233803.66,394234.442
1296,601988.SH,20160203,2.3271,2.3344,2.305,2.3271,2.3491,-0.021999999999999797,-0.9365,1264137.71,399416.578
1295,601988.SH,20160204,2.3344,2.3564,2.3271,2.3417,2.3271,0.014599999999999724,0.6274,1235656.6,394384.472
