,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
1318,600519.SH,20160104,201.8944,201.8944,194.4762,194.5039,202.0703,-7.566400000000016,-3.7444,17349.69,371909.829
1317,600519.SH,20160105,194.4854,198.1621,192.1794,197.0971,194.5039,2.5932000000000244,1.3332,31908.91,672596.329
1316,600519.SH,20160106,197.06,197.875,193.8371,196.5044,197.0971,-0.5927000000000078,-0.3007,23760.9,502483.565
1315,600519.SH,20160107,193.55,193.55,185.252,187.2895,196.5044,-9.2149,-4.6894,8148.68,167829.92
1314,600519.SH,20160108,189.0861,192.6332,185.2242,189.5121,187.2895,2.2226,1.1867,44510.09,911812.833
1313,600519.SH,20160111,188.1507,188.7342,184.6685,185.0945,189.5121,-4.417599999999993,-2.331,29702.58,596838.948
1312,600519.SH,20160112,186.2429,187.1691,181.5197,182.2514,185.0945,-2.843100000000021,-1.536,40287.23,801495.583
1311,600519.SH,20160113,184.3907,190.7809,183.9276,185.0205,182.2514,2.7691000000000088,1.5194,29201.98,592420.624
1310,600519.SH,20160114,182.5477,190.7624,181.0659,189.6881,185.0205,4.667599999999993,2.5227,34776.06,699341.426
1309,600519.SH,20160115,189.6233,190.9476,183.372,184.2981,189.6881,-5.389999999999986,-2.8415,26681.19,537750.009
1308,600519.SH,20160118,183.372,187.4469,182.6311,184.6963,184.2981,0.3982000000000028,0.2161,27371.23,548614.385
1307,600519.SH,20160119,186.1503,194.791,185.2335,194.7077,184.6963,10.01139999999998,5.4205,59110.22,1224859.286
1306,600519.SH,20160120,191.7071,194.6336,186.1596,187.3728,194.7077,-7.334899999999976,-3.7671,40968.66,835946.965
1305,600519.SH,20160121,186.3911,189.4751,185.1316,185.465,187.3728,-1.9078000000000088,-1.0182,21832.29,439737.651
1304,600519.SH,20160122,188.1044,188.373,184.1221,187.7618,185.465,2.2967999999999904,1.2384,22733.48,456952.021
1303,600519.SH,20160125,188.0026,188.4564,186.6134,187.7896,187.7618,0.02780000000001337,0.0148,13750.45,278273.547
1302,600519.SH,20160126,186.1411,189.364,183.835,184.3073,187.7896,-3.4823000000000093,-1.8544,22280.92,448487.464
1301,600519.SH,20160127,185.2057,186.0485,181.2419,185.1594,184.3073,0.8521000000000072,0.4623,29840.41,589842.577
1300,600519.SH,20160128,184.9927,184.9927,181.1678,182.1124,185.1594,-3.046999999999997,-1.6456,17903.0,353744.037
1299,600519.SH,20160129,182.8904,187.5395,182.4458,185.8262,182.1124,3.713799999999992,2.0393,23090.24,461975.279
1298,600519.SH,20160201,187.1691,187.8173,185.1223,186.4189,185.8262,0.5927000000000078,0.319,19178.02,386028.337
1297,600519.SH,20160202,187.0764,189.6696,185.8169,189.4381,186.4189,3.0191999999999837,1.6196,17842.08,362596.993
1296,600519.SH,20160203,187.6136,189.4473,186.6134,188.6138,189.4381,-0.8242999999999938,-0.4351,15156.99,307933.687
1295,600519.SH,20160204,189.6696,190.6698,188.5027,189.8455,188.6138,1.2316999999999894,0.653,16624.75,340315.128
1294,600519.SH,20160205,189.8455,190.0215,187.5673,188.8083,189.8455,-1.0371999999999844,-0.5463,14227.67,290691.678
1293,600519.SH,20160215,185.2242,188.0026,184.8538,185.6039,188.8083,-3.2043999999999926,-1.6972,19470.18,390748.384
1292,600519.SH,20160216,185.7428,192.6332,185.7428,188.8546,185.6039,3.250699999999995,1.7514,19223.16,393326.285
1291,600519.SH,20160217,188.6879,189.7807,185.6965,187.3543,188.8546,-1.50030000000001,-0.7944,20349.11,411126.979
1290,600519.SH,20160218,188.1878,188.5582,186.2429,186.8079,187.3543,-0.5464000000000055,-0.2916,18892.56,381696.249
1289,600519.SH,20160219,186.7245,188.1693,186.2707,188.1044,186.8079,1.2965000000000089,0.694,14238.46,287755.552
1288,600519.SH,20160222,190.7809,192.9295,190.7809,192.4479,188.1044,4.343500000000006,2.3091,27759.86,574540.624
1287,600519.SH,20160223,192.4202,199.0975,191.7256,196.7174,192.4479,4.269499999999994,2.2185,37460.89,795824.522
1286,600519.SH,20160224,196.5229,201.9222,195.4208,201.6536,196.7174,4.936200000000014,2.5093,33129.02,717612.347
1285,600519.SH,20160225,202.6353,204.1912,196.4581,196.7174,201.6536,-4.936200000000014,-2.4479,39480.65,855036.777
1284,600519.SH,20160226,197.3564,203.052,195.6523,200.8201,196.7174,4.102699999999999,2.0856,28332.71,609924.298
