,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
1318,601939.SH,20160104,4.5755,4.5834,4.4169,4.4406,4.5834,-0.14280000000000026,-3.1156,610414.55,345126.79
1317,601939.SH,20160105,4.3772,4.4882,4.3614,4.4248,4.4406,-0.015799999999999592,-0.3558,654196.44,364868.325
1316,601939.SH,20160106,4.4248,4.4724,4.4089,4.4724,4.4248,0.04760000000000009,1.0758,493284.81,276626.636
1315,601939.SH,20160107,4.4406,4.4486,4.3376,4.3534,4.4724,-0.11900000000000066,-2.6608,159018.31,87780.313
1314,601939.SH,20160108,4.4248,4.4644,4.3217,4.3931,4.3534,0.039699999999999847,0.9119,845954.93,470553.125
1313,601939.SH,20160111,4.3534,4.3772,4.1948,4.2028,4.3931,-0.1902999999999997,-4.3318,890531.0,483584.438
1312,601939.SH,20160112,4.2345,4.2583,4.171,4.179,4.2028,-0.0237999999999996,-0.5663,534470.58,283963.431
1311,601939.SH,20160113,4.2345,4.2345,4.1155,4.1235,4.179,-0.05550000000000033,-1.3281,494774.15,260500.594
1310,601939.SH,20160114,4.0442,4.1472,4.0204,4.1314,4.1235,0.00790000000000024,0.1916,655227.47,336782.39
1309,601939.SH,20160115,4.1076,4.1076,4.0124,4.0362,4.1314,-0.09520000000000017,-2.3043,617508.88,315926.242
1308,601939.SH,20160118,3.9807,4.0362,3.9807,3.9966,4.0362,-0.03960000000000008,-0.9811,611950.84,309312.929
1307,601939.SH,20160119,4.0045,4.1155,4.0045,4.0838,3.9966,0.08720000000000017,2.1819,512198.65,262293.227
1306,601939.SH,20160120,4.068,4.0838,4.0045,4.0362,4.0838,-0.04760000000000009,-1.1656,546002.58,278086.123
1305,601939.SH,20160121,4.0124,4.0997,3.9887,3.9887,4.0362,-0.047499999999999876,-1.1768,560594.24,284865.429
1304,601939.SH,20160122,4.0204,4.0283,3.9728,4.0045,3.9887,0.015800000000000036,0.3961,418712.04,211299.084
1303,601939.SH,20160125,4.0045,4.0283,3.9728,4.0204,4.0045,0.015900000000000247,0.3971,520328.91,262502.834
1302,601939.SH,20160126,4.0045,4.0124,3.8618,3.8618,4.0204,-0.1586000000000003,-3.9449,826393.71,410800.075
1301,601939.SH,20160127,3.9094,3.9094,3.7746,3.8301,3.8618,-0.031700000000000284,-0.8209,910873.4,440362.172
1300,601939.SH,20160128,3.8221,3.8221,3.7428,3.7666,3.8301,-0.06349999999999989,-1.6579,509785.2,242999.676
1299,601939.SH,20160129,3.7666,3.8459,3.7428,3.8142,3.7666,0.04760000000000009,1.2637,1048269.22,502293.789
1298,601939.SH,20160201,3.8063,3.8063,3.6953,3.727,3.8142,-0.08720000000000017,-2.2862,870188.12,410331.914
1297,601939.SH,20160202,3.727,3.7746,3.7111,3.7508,3.727,0.023800000000000043,0.6386,565087.84,267357.065
1296,601939.SH,20160203,3.727,3.7349,3.6794,3.7111,3.7508,-0.039699999999999847,-1.0584,601337.01,280480.449
1295,601939.SH,20160204,3.7111,3.7508,3.7111,3.7349,3.7111,0.023800000000000043,0.6413,641905.29,301959.708
1294,601939.SH,20160205,3.7349,3.7428,3.7111,3.719,3.7349,-0.015900000000000247,-0.4257,546960.82,256630.324
1293,601939.SH,20160215,3.6477,3.6873,3.616,3.6635,3.719,-0.05549999999999988,-1.4923,574523.3,264540.216
1292,601939.SH,20160216,3.6794,3.7746,3.6715,3.7508,3.6635,0.08729999999999993,2.383,1005670.05,472955.708
1291,601939.SH,20160217,3.7428,3.7587,3.7111,3.7508,3.7508,0.0,0.0,1119817.49,527804.245
1290,601939.SH,20160218,3.7587,3.7666,3.7349,3.7428,3.7508,-0.008000000000000007,-0.2133,1094078.26,517946.723
1289,601939.SH,20160219,3.7428,3.7508,3.7111,3.719,3.7428,-0.023800000000000043,-0.6359,750365.26,352782.345
1288,601939.SH,20160222,3.7349,3.838,3.727,3.7904,3.719,0.07140000000000013,1.9199,1491860.03,710591.485
1287,601939.SH,20160223,3.7904,3.7904,3.719,3.7508,3.7904,-0.03960000000000008,-1.0447,977999.8,462975.874
1286,601939.SH,20160224,3.7349,3.7746,3.727,3.7508,3.7508,0.0,0.0,757957.3,358027.016
1285,601939.SH,20160225,3.7508,3.7508,3.6001,3.6239,3.7508,-0.1269,-3.3833,1704015.86,795686.119
1284,601939.SH,20160226,3.6397,3.6953,3.6239,3.6635,3.6239,0.03960000000000008,1.0927,889280.03,409111.197
1283,601939.SH,20160229,3.6556,3.6556,3.4891,3.5922,3.6635,-0.07129999999999992,-1.9462,1380449.08,619876.246
1282,601939.SH,20160301,3.6001,3.6477,3.5684,3.6239,3.5922,0.03169999999999984,0.8825,1026073.77,466536.655
1281,601939.SH,20160302,3.6318,3.7349,3.608,3.727,3.6239,0.10309999999999997,2.845,1547893.46,717826.2
1280,601939.SH,20160303,3.727,3.7508,3.7032,3.7349,3.727,0.00790000000000024,0.212,1634959.51,768452.661
1279,601939.SH,20160304,3.727,3.8776,3.7111,3.838,3.7349,0.10309999999999997,2.7604,3215619.77,1544463.491
1278,601939.SH,20160307,3.8221,3.8459,3.7983,3.8142,3.838,-0.023800000000000043,-0.6201,1662631.55,800755.496
1277,601939.SH,20160308,3.8221,3.8221,3.719,3.7983,3.8142,-0.015900000000000247,-0.4169,1753512.1,830753.503
1276,601939.SH,20160309,3.7666,3.7983,3.7349,3.7825,3.7983,-0.015799999999999592,-0.416,1336451.97,634278.186
1275,601939.SH,20160310,3.7746,3.8301,3.7666,3.7746,3.7825,-0.00790000000000024,-0.2089,1424959.04,683176.21
1274,601939.SH,20160311,3.7666,3.7904,3.7349,3.7746,3.7746,0.0,0.0,1073840.04,509303.069
1273,601939.SH,20160314,3.7825,3.8538,3.7666,3.8063,3.7746,0.03169999999999984,0.8398,1407104.73,677140.675
1272,601939.SH,20160315,3.7983,3.8301,3.7746,3.8142,3.8063,0.00790000000000024,0.2076,791989.75,379594.78
1271,601939.SH,20160316,3.7983,3.8697,3.7983,3.8538,3.8142,0.03960000000000008,1.0382,1901413.18,921595.037
1270,601939.SH,20160317,3.8459,3.8776,3.838,3.8618,3.8538,0.008000000000000007,0.2076,1420770.08,691277.07
1269,601939.SH,20160318,3.8618,3.8856,3.8459,3.8538,3.8618,-0.008000000000000007,-0.2072,2132027.5,1038318.256
1268,601939.SH,20160321,3.8697,3.9252,3.8538,3.8856,3.8538,0.03180000000000005,0.8252,1680096.43,823439.701
1267,601939.SH,20160322,3.8856,3.9173,3.8697,3.8776,3.8856,-0.008000000000000007,-0.2059,936115.15,459388.266
1266,601939.SH,20160323,3.8776,3.8935,3.8538,3.8697,3.8776,-0.00790000000000024,-0.2037,579014.38,282408.751
1265,601939.SH,20160324,3.8538,3.8618,3.8221,3.8301,3.8697,-0.03960000000000008,-1.0233,867511.45,419711.997
1264,601939.SH,20160325,3.8221,3.8459,3.8221,3.838,3.8301,0.00790000000000024,0.2063,505126.83,244314.866
1263,601939.SH,20160328,3.8459,3.8538,3.8063,3.8221,3.838,-0.015900000000000247,-0.4143,1028580.13,496525.347
1262,601939.SH,20160329,3.8221,3.838,3.7983,3.8142,3.8221,-0.007899999999999796,-0.2067,923048.22,444459.318
1261,601939.SH,20160330,3.8221,3.8935,3.8221,3.8856,3.8142,0.07140000000000013,1.872,1740819.38,848184.404
1260,601939.SH,20160331,3.8856,3.8935,3.8301,3.8459,3.8856,-0.03970000000000029,-1.0217,2124445.15,1032325.74
1259,601939.SH,20160401,3.838,3.8459,3.7983,3.838,3.8459,-0.007899999999999796,-0.2054,1540178.39,742690.812
