,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
1318,601318.SH,20160104,31.344,31.344,29.6474,29.7785,31.4839,-1.7053999999999974,-5.4167,709971.99,2468127.284
1317,601318.SH,20160105,29.455,30.4432,29.2975,30.1721,29.7785,0.3935999999999993,1.3218,874985.07,3002728.33
1316,601318.SH,20160106,29.9972,30.312,29.7348,30.1983,30.1721,0.026199999999999335,0.0868,480121.1,1648967.873
1315,601318.SH,20160107,29.7348,30.1896,28.8603,29.5337,30.1983,-0.6646000000000001,-2.2008,236476.05,796250.794
1314,601318.SH,20160108,29.7348,30.1284,28.7728,29.6823,29.5337,0.14860000000000184,0.5032,982396.6,3319542.172
1313,601318.SH,20160111,28.8603,29.1489,27.9857,28.0119,29.6823,-1.6704000000000008,-5.6276,993557.0,3259413.147
1312,601318.SH,20160112,28.2218,28.4755,27.8283,28.1694,28.0119,0.15749999999999886,0.5623,743809.14,2393261.862
1311,601318.SH,20160113,28.6591,28.6679,27.8545,27.977,28.1694,-0.19239999999999924,-0.683,625330.19,2021310.637
1310,601318.SH,20160114,27.0237,28.0382,26.9362,27.977,27.977,0.0,0.0,797227.12,2501041.139
1309,601318.SH,20160115,27.6709,27.872,27.0237,27.2861,27.977,-0.6908999999999992,-2.4695,591402.6,1852786.053
1308,601318.SH,20160118,26.875,27.3473,26.7526,27.1724,27.2861,-0.11370000000000147,-0.4167,483693.67,1499292.425
1307,601318.SH,20160119,27.3036,27.7059,26.8925,27.5572,27.1724,0.38480000000000203,1.4161,673925.36,2110985.238
1306,601318.SH,20160120,27.3036,27.5047,26.4902,26.7001,27.5572,-0.8571000000000026,-3.1103,1007042.68,3093888.706
1305,601318.SH,20160121,26.5602,26.945,26.1229,26.3678,26.7001,-0.33230000000000004,-1.2446,681901.02,2062908.473
1304,601318.SH,20160122,26.5602,26.6651,25.9567,26.429,26.3678,0.06119999999999948,0.2321,493104.07,1483455.593
1303,601318.SH,20160125,26.4902,26.5514,26.1404,26.464,26.429,0.03500000000000014,0.1324,374744.72,1128901.679
1302,601318.SH,20160126,26.1579,26.3241,25.3446,25.5632,26.464,-0.9008000000000003,-3.4039,766809.81,2257692.347
1301,601318.SH,20160127,25.6681,25.7818,25.1871,25.5545,25.5632,-0.008699999999997488,-0.034,703853.26,2053855.399
1300,601318.SH,20160128,25.537,25.8955,25.1609,25.6244,25.5545,0.06990000000000052,0.2735,484417.59,1415213.671
1299,601318.SH,20160129,25.537,26.5689,25.467,26.394,25.6244,0.769599999999997,3.0034,644391.44,1926485.785
1298,601318.SH,20160201,26.3765,26.3765,25.6332,25.8256,26.394,-0.5683999999999969,-2.1535,340484.57,1010608.899
1297,601318.SH,20160202,25.8256,26.3241,25.7993,26.2104,25.8256,0.3847999999999985,1.49,375134.3,1121692.994
